Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Year,Month,Month_Name,Quarter,Year_Month,Total_Cost,Profit,Profit_Margin
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,2023,2,February,1,2023-02,2749.5,2304.4700000000003,45.5972235687984
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,2023,4,April,2,2023-04,64878.63,-60494.61,-1379.889005980812
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,2023,9,September,3,2023-09,7846.8,-3215.5700000000006,-69.43231063885837
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,2023,8,August,3,2023-08,168871.16999999998,-166703.22999999998,-7689.476184765261
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,2023,3,March,1,2023-03,8285.81,-4535.61,-120.94314969868275
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,2023,2,February,1,2023-02,28825.28,-25064.129999999997,-666.3953843904125
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,2023,4,April,2,2023-04,69855.49,-69237.18000000001,-11197.810159952129
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,2023,1,January,1,2023-01,170315.46000000002,-162616.54,-2112.1993734186094
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,2023,6,June,2,2023-06,22141.8,-17918.41,-424.2660516788645
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,2023,10,October,4,2023-10,40110.299999999996,-31870.719999999994,-386.80029807344545
1088,2023-11-16,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,2023,11,November,4,2023-11,31721.43,-23202.98,-272.38499961847515
